prix,date
27.47252747252747,2021-10-9
27.627943485086345,2021-10-10
27.497645211930926,2021-10-11
27.156985871271587,2021-10-12
26.687598116169543,2021-10-13
26.687598116169543,2021-10-14
27.39403453689168,2021-10-15
26.828885400313972,2021-10-16
26.21664050235479,2021-10-17
25.82417582417582,2021-10-18
25.117739403453687,2021-10-19
25.74568288854003,2021-10-20
25.744113029827314,2021-10-21
26.373626373626376,2021-10-22
25.90266875981162,2021-10-23
26.29513343799058,2021-10-24
25.90266875981162,2021-10-25
26.215070643642072,2021-10-26
26.373626373626376,2021-10-27
26.687598116169543,2021-10-28
27.1585557299843,2021-10-29
27.268445839874413,2021-10-30
26.766091051805336,2021-10-31
27.92778649921507,2021-11-1
26.530612244897956,2021-11-2
27.07849293563579,2021-11-3
26.609105180533753,2021-11-4
27.180533751962322,2021-11-5
27.237048665620094,2021-11-6
26.84458398744113,2021-11-7
27.205651491365774,2021-11-8
26.593406593406595,2021-11-9
25.90266875981162,2021-11-10
26.52747252747253,2021-11-11
26.609105180533753,2021-11-12
26.84458398744113,2021-11-13
27.001569858712713,2021-11-14
26.766091051805336,2021-11-15
26.609105180533753,2021-11-16
27.08006279434851,2021-11-17
26.452119309262166,2021-11-18
27.629513343799058,2021-11-22
27.315541601255887,2021-11-23
27.315541601255887,2021-11-24
27.237048665620094,2021-11-25
27.47252747252747,2021-11-26
27.629513343799058,2021-11-27
27.39403453689168,2021-11-28
27.39403453689168,2021-11-29
27.629513343799058,2021-11-30
28.88540031397174,2021-12-1
28.88540031397174,2021-12-2
29.67032967032967,2021-12-3
30.4552590266876,2021-12-4
30.376766091051806,2021-12-5
29.984301412872842,2021-12-6
29.67032967032967,2021-12-7
29.82574568288854,2021-12-8
29.67032967032967,2021-12-9
29.905808477237045,2021-12-10
29.67032967032967,2021-12-11
29.82574568288854,2021-12-12
29.23076923076923,2021-12-13
29.40345368916797,2021-12-14
29.967032967032964,2021-12-15
30.14128728414443,2021-12-16
30.31397174254317,2021-12-17
30.062794348508632,2021-12-18
29.67032967032967,2021-12-19
29.74882260596546,2021-12-20
29.827315541601255,2021-12-21
30.298273155416013,2021-12-22
29.827315541601255,2021-12-23
30.4552590266876,2021-12-24
29.74882260596546,2021-12-25
29.827315541601255,2021-12-26
29.827315541601255,2021-12-27
29.12087912087912,2021-12-28
29.042386185243327,2021-12-29
29.74882260596546,2021-12-30
29.74882260596546,2021-12-31
30.298273155416013,2022-1-1
30.27943485086342,2022-1-2
29.827315541601255,2022-1-3
29.67032967032967,2022-1-4
29.638932496075356,2022-1-5
29.668759811616955,2022-1-6
29.733124018838303,2022-1-7
29.827315541601255,2022-1-8
29.199372056514914,2022-1-9
28.88540031397174,2022-1-10
29.042386185243327,2022-1-11
29.74882260596546,2022-1-12
29.67032967032967,2022-1-13
29.827315541601255,2022-1-14
30.298273155416013,2022-1-15
29.984301412872842,2022-1-16
29.434850863422295,2022-1-17
29.827315541601255,2022-1-18
30.14128728414443,2022-1-19
30.031397174254316,2022-1-20
30.45368916797488,2022-1-21
29.591836734693874,2022-1-22
29.827315541601255,2022-1-23
29.905808477237045,2022-1-24
30.53375196232339,2022-1-25
29.74882260596546,2022-1-26
29.827315541601255,2022-1-27
29.827315541601255,2022-1-28
29.356357927786497,2022-1-29
30.4552590266876,2022-1-30
31.37833594976452,2022-1-31
31.240188383045524,2022-2-1
31.240188383045524,2022-2-2
31.86813186813187,2022-2-3
32.08477237048666,2022-2-4
31.86813186813187,2022-2-5
31.39717425431711,2022-2-6
31.302982731554163,2022-2-7
30.298273155416013,2022-2-8
31.004709576138147,2022-2-9
30.53375196232339,2022-2-10
31.083202511773937,2022-2-11
31.004709576138147,2022-2-12
30.61224489795918,2022-2-13
31.39717425431711,2022-2-14
30.61224489795918,2022-2-15
31.004709576138147,2022-2-16
31.376766091051806,2022-2-17
31.78963893249607,2022-2-18
31.083202511773937,2022-2-19
31.004709576138147,2022-2-20
31.993720565149136,2022-2-21
31.287284144426998,2022-2-22
31.71114599686028,2022-2-23
32.10361067503924,2022-2-24
32.10204081632653,2022-2-25
32.417582417582416,2022-2-26
31.86813186813187,2022-2-27
31.78963893249607,2022-2-28
32.10204081632653,2022-3-1
32.10361067503924,2022-3-2
32.08791208791209,2022-3-3
31.86813186813187,2022-3-4
32.33908948194662,2022-3-5
32.33908948194662,2022-3-6
32.96546310832025,2022-3-7
31.86813186813187,2022-3-8
32.025117739403456,2022-3-9
32.18210361067504,2022-3-10
32.73155416012559,2022-3-11
31.94662480376766,2022-3-12
32.10361067503924,2022-3-13
32.49607535321821,2022-3-14
32.574568288854,2022-3-15
32.55572998430141,2022-3-16
32.73155416012559,2022-3-17
32.33908948194662,2022-3-18
34.458398744113026,2022-3-21
33.59497645211931,2022-3-22
33.75196232339089,2022-3-23
32.967032967032964,2022-3-24
33.98744113029827,2022-3-25
33.75196232339089,2022-3-26
32.6530612244898,2022-3-27
32.967032967032964,2022-3-28
33.90894819466248,2022-3-29
33.90894819466248,2022-3-30
34.065934065934066,2022-3-31
32.967032967032964,2022-4-4
33.437990580847725,2022-4-5
33.51648351648352,2022-4-6
33.19309262166405,2022-4-7
